Title,Price,Rating,Address,Img_URL,Description,Rank_of_province,Link_Food
Nhà hàng Otoko Damashii,-1,-1,"TTTM Aeon Long Biên Tầng 1, Hà Nội 10000 Việt Nam",-1,-1,,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d10179051-Reviews-Otoko_Damashii_Japanese_Restaurant-Hanoi.html
Mali Thai Cuisine,-1,-1,"106 A5 TT Giang Vo. Kimma Rd, Hà Nội 84444 Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/06/a3/71/57/getlstd-property-photo.jpg,Kiểu Thái,,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d7111933-Reviews-Mali_Thai_Cuisine-Hanoi.html
Thanh Huong,-1,-1,"Hoang Quoc Viet 7 lane 106 Hoang Quoc Viet str., Cau Giay dist, Hà Nội Việt Nam",-1,Kiểu Việt,,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d1997885-Reviews-Thanh_Huong-Hanoi.html
DQ Grill & Chill Artemis,-1,-1,"3 Lê Trọng Tấn Artemis, Tầng 5, Thanh Xuân, Hà Nội 100000 Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/13/e9/98/65/getlstd-property-photo.jpg,50.000 ₫ - 220.000 ₫,,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d14960665-Reviews-DQ_Grill_Chill_Artemis-Hanoi.html
Kichi Kichi Trương Định,-1,-1,"461 Trương Định Tầng 1, Trương Định Plaza, Hoàng Mai, Hà Nội 100000 Việt Nam",-1,50.000 ₫ - 500.000 ₫,,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d15101702-Reviews-Kichi_Kichi_Truong_Dinh-Hanoi.html
Green Concept,-1,-1,"Số 349 Vũ Tông Phan, Thanh Xuân Tầng 31, Hà Nội 100000 Việt Nam",-1,35.000 ₫ - 350.000 ₫,,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d20323772-Reviews-Green_Concept-Hanoi.html
Nhà hàng Chay Tuệ Giác,-1,-1,"15 Trần Quang Diệu Ô Chợ Dừa, Đống Đa, Hà Nội 100000 Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/19/42/fb/a1/c-qu-lu-c-v-i-kho-qu.jpg,"Bữa sáng, Bữa trưa, Bữa tối, Đồ uống",,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d17623228-Reviews-Tue_Giac_Vegan_Restaurant-Hanoi.html
Mr.Taco - Mexican Fastfood,-1,-1,"30 Đại Cồ Việt, Hà Nội 100000 Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/17/05/4d/74/getlstd-property-photo.jpg,40.000 ₫ - 120.000 ₫,,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d17178448-Reviews-Mr_Taco_Mexican_Fastfood-Hanoi.html
StarClub 87 Lang Ha,-1,-1,"87 Lang Ha, Hà Nội 10000 Việt Nam",-1,Cà phê,,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d5501189-Reviews-StarClub_87_Lang_Ha-Hanoi.html
"17 Phan Chu Trinh, Hoàn Kiếm, Hà Nội",-1,-1,"17 Phan Chu Trinh, Hà Nội Việt Nam",https://media-cdn.tripadvisor.com/media/photo-s/26/d9/79/0d/an-nhien.jpg,"Kiểu Mỹ, Cà phê, Hải sản, Kiểu Anh, Kiểu Mỹ bản xứ, Bản địa",,https://www.tripadvisor.com.vn/Restaurant_Review-g293924-d23935820-Reviews-17_Phan_Chu_Trinh_Hoan_Ki_m_Ha_N_i-Hanoi.html
